Brand,Model,Year Made,Imported Year,Price,Odometer,Мотор багтаамж,Хурдны хайрцаг,Хүрд,Төрөл,Өнгө,Үйлдвэрлэсэн он,Орж ирсэн он,Хөдөлгүүр,Дотор өнгө,Лизинг,Хөтлөгч,Нөхцөл,Хаалга
Toyota,Sai,2011,2020,20 сая ₮,220000,2.4 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2011,2020,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Honda,Fit,2011,2019,8 сая ₮,185000,1.3 л,Автомат,Буруу,Суудлын тэрэг,Бусад,2011,2019,Бензин,Саарал,гүй,Урдаа FWD,Дугаар авсан,5
Hyundai,Starex,2007,2017,5 сая ₮,168000,2.4 л,Механик,Зөв,Гэр бүлийн,Саарал,2007,2017,Дизель,Хар,гүй,Хойноо RWD,Дугаар авсан,4
Toyota,Harrier,2022,2024,108 сая ₮,30000,2.5 л,Автомат,Зөв,Жийп,Цагаан,2022,2024,Хайбрид,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,5
SsangYong,Istana,2002,2022,5 сая ₮,1111111,2.9 л,Механик,Зөв,Суудлын тэрэг,Ногоон,2002,2022,Дизель,Бусад,гүй,Урдаа FWD,Дугаар авсан,4
Toyota,Voxy,2015,2024,8 сая ₮,170000,1.8 л,Автомат,Буруу,Гэр бүлийн,Хар,2015,2024,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Lexus,RX,2010,2019,45 сая ₮,130,3.5 л,Автомат,Буруу,Жийп,Хар,2010,2019,Бензин,Шаргал,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Prius 20,2003,2016,5 сая ₮,111111,1.3 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2003,2016,Хайбрид,Саарал,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Prius 20,2005,2022,15 сая ₮,250000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2005,2022,Бензин,Саарал,гүй,Урдаа FWD,Дугаар авсан,4
Toyota,Auris,2009,2019,8 сая ₮,160000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2009,2019,Бензин,Саарал,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Toyota,Prius 30,2013,2023,22 сая ₮,185000,1.8 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2013,2023,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Prius 20,2005,2022,15 сая ₮,250000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2005,2022,Бензин,Саарал,гүй,Урдаа FWD,Дугаар авсан,4
Toyota,Auris,2009,2019,8 сая ₮,160000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2009,2019,Бензин,Саарал,ББСБ лизингтэй,Урдаа FWD,Дугаар авсан,5
Toyota,Prius 30,2013,2023,22 сая ₮,185000,1.8 л,Автомат,Буруу,Суудлын тэрэг,Цагаан,2013,2023,Хайбрид,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Nissan,X-Trail,2009,2018,18 сая ₮,180000,2.0 л,Автомат,Буруу,Жийп,Хар,2009,2018,Бензин,Хар,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Alphard,2007,2021,5 сая ₮,200000,2.4 л,Автомат,Буруу,Гэр бүлийн,Сувдан цагаан,2007,2021,Хайбрид,Бусад,гүй,Бүх дугуй 4WD,Дугаар авсан,5
Toyota,Camry,2016,2023,5 сая ₮,158000,2.4 л,Автомат,Буруу,Суудлын тэрэг,Хар,2016,2023,Бензин,Хар,гүй,Урдаа FWD,Дугаар авсан,5
Toyota,Hiace,2012,2018,39 сая ₮,100000,2.7 л,Автомат,Буруу,Гэр бүлийн,Хөх,2012,2018,Бензин,Саарал,гүй,Бүх дугуй 4WD,Дугаар авсан,4
Toyota,Land Cruiser Prado,2015,2024,118 сая ₮,81000,2.7 л,Автомат,Буруу,Жийп,Сувдан цагаан,2015,2024,Бензин,Саарал,Банкны лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,5
Toyota,Prius 20,2004,2021,16 сая ₮,249000,1.5 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2004,2021,Бензин,Саарал,гүй,Урдаа FWD,Дугаар авсан,5
Hyundai,Sonata,2019,2024,42 сая ₮,100000,2.0 л,Автомат,Зөв,Суудлын тэрэг,Хар,2019,2024,Газ,Хар,гүй,Урдаа FWD,Дугаар аваагүй,4
Lexus,RX,2016,2024,110 сая ₮,102000,3.5 л,Автомат,Буруу,Жийп,Сувдан цагаан,2016,2024,Хайбрид,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,Дугаар аваагүй,4
Nissan,Juke,2013,2022,22 сая ₮,167000,1.5 л,Автомат,Буруу,Жийп,Улаан,2013,2022,Бензин,Хар,гүй,Урдаа FWD,Дугаар авсан,4
